codemp,prfawb,numawb,oriawb,desawb,OrgPais,DestPais,ZonaOrig,ZonaDest,OficinaOriCap,OficinaDesCap,PosOri,PosDes,Tramos,codpro,dsc_producto,posage,NomAge,NomShp,FecVue,ChWei_BK,GrRev,NetRev,GrossRevSinProrr,SalesRevSinProrr,NetRevSinProrr,GrWeiTotAWB
0,45,91312852,ORD,VCP,USA,Brazil,NA_USA_Midwest,SA_Brazil_VCP,CHI,VCP,ORD,VCP,ORD-MIA-VCP,517,OTROS DG,CHI,BDP INTERNATIONAL INC,BDP INTERNATIONAL INC,06-11-12 0:00,25,0,0,0,0,0,0
0,45,91312852,ORD,VCP,USA,Brazil,NA_USA_Midwest,SA_Brazil_VCP,CHI,VCP,ORD,VCP,ORD-MIA-VCP,517,OTROS DG,CHI,BDP INTERNATIONAL INC,BDP INTERNATIONAL INC,09-11-12 0:00,25,0,0,0,0,0,0
0,45,91312863,ORD,ASU,USA,Paraguay,NA_USA_Midwest,SA_Paraguay,CHI,ASU,ORD,ASU,ORD-MIA-ASU,617,MISCELANEO (CLASE 9),CHI,BDP INTERNATIONAL INC,BDP INTERNATIONAL,06-11-12 0:00,7,0,0,0,0,0,0
0,45,91312863,ORD,ASU,USA,Paraguay,NA_USA_Midwest,SA_Paraguay,CHI,ASU,ORD,ASU,ORD-MIA-ASU,617,MISCELANEO (CLASE 9),CHI,BDP INTERNATIONAL INC,BDP INTERNATIONAL,10-11-12 0:00,7,0,0,0,0,0,0
0,45,91312885,MIA,GRU,USA,Brazil,NA_USA_Florida,SA_Brazil_GRU,MIA,GRU,MIA,GRU,MIA-GRU,517,OTROS DG,MIA,BDP INTERNATIONAL INC,BDP INTERNATIONAL INC,07-11-12 0:00,2,0,0,0,0,0,0
0,45,91312955,ORD,VCP,USA,Brazil,NA_USA_Midwest,SA_Brazil_VCP,CHI,VCP,ORD,VCP,ORD-MIA-VCP,1,CARGA GENERAL,CHI,BDP INTERNATIONAL INC,BDP,06-11-12 0:00,220,0,0,0,0,0,0
0,45,91312955,ORD,VCP,USA,Brazil,NA_USA_Midwest,SA_Brazil_VCP,CHI,VCP,ORD,VCP,ORD-MIA-VCP,1,CARGA GENERAL,CHI,BDP INTERNATIONAL INC,BDP,08-11-12 0:00,220,0,0,0,0,0,0
45,45,91313471,IAH,BOG,USA,Colombia,NA_USA_South,SA_Colombia,IAH,BOG,IAH,BOG,IAH-MIA-BOG,1,CARGA GENERAL,HOU,U.S.G.A. LOGISTIC INC.,U.S.G.A. LOGISTIC INC.,01-11-12 0:00,330,0,0,528,514.8,435.6,330
45,45,91313471,IAH,BOG,USA,Colombia,NA_USA_South,SA_Colombia,IAH,BOG,IAH,BOG,IAH-MIA-BOG,1,CARGA GENERAL,HOU,U.S.G.A. LOGISTIC INC.,U.S.G.A. LOGISTIC INC.,03-11-12 0:00,330,528,435.6,528,514.8,435.6,330
45,45,91313482,IAH,BOG,USA,Colombia,NA_USA_South,SA_Colombia,IAH,BOG,IAH,BOG,IAH-MIA-BOG,1,CARGA GENERAL,HOU,U.S.G.A. LOGISTIC INC.,U.S.G.A. LOGISTIC INC.,01-11-12 0:00,45,0,0,160,156,132,45
45,45,91313482,IAH,BOG,USA,Colombia,NA_USA_South,SA_Colombia,IAH,BOG,IAH,BOG,IAH-MIA-BOG,1,CARGA GENERAL,HOU,U.S.G.A. LOGISTIC INC.,U.S.G.A. LOGISTIC INC.,03-11-12 0:00,45,160,132,160,156,132,45
45,45,91313493,IAH,BOG,USA,Colombia,NA_USA_South,SA_Colombia,IAH,BOG,IAH,BOG,IAH-MIA-BOG,1,CARGA GENERAL,HOU,U.S.G.A. LOGISTIC INC.,U.S.G.A. LOGISTIC INC.,01-11-12 0:00,45,0,0,160,156,132,45
45,45,91313493,IAH,BOG,USA,Colombia,NA_USA_South,SA_Colombia,IAH,BOG,IAH,BOG,IAH-MIA-BOG,1,CARGA GENERAL,HOU,U.S.G.A. LOGISTIC INC.,U.S.G.A. LOGISTIC INC.,03-11-12 0:00,45,160,132,160,156,132,45
45,45,91313504,IAH,BOG,USA,Colombia,NA_USA_South,SA_Colombia,IAH,BOG,IAH,BOG,IAH-MIA-BOG,1,CARGA GENERAL,HOU,U.S.G.A. LOGISTIC INC.,U.S.G.A. LOGISTIC INC.,01-11-12 0:00,276,0,0,441.6,430.56,364.32,276
45,45,91313504,IAH,BOG,USA,Colombia,NA_USA_South,SA_Colombia,IAH,BOG,IAH,BOG,IAH-MIA-BOG,1,CARGA GENERAL,HOU,U.S.G.A. LOGISTIC INC.,U.S.G.A. LOGISTIC INC.,03-11-12 0:00,276,441.6,364.32,441.6,430.56,364.32,276
45,45,91313515,IAH,BOG,USA,Colombia,NA_USA_South,SA_Colombia,IAH,BOG,IAH,BOG,IAH-MIA-BOG,1,CARGA GENERAL,HOU,U.S.G.A. LOGISTIC INC.,U.S.G.A. LOGISTIC INC.,01-11-12 0:00,11,0,0,104.99,102.36,99.72,11
45,45,91313515,IAH,BOG,USA,Colombia,NA_USA_South,SA_Colombia,IAH,BOG,IAH,BOG,IAH-MIA-BOG,1,CARGA GENERAL,HOU,U.S.G.A. LOGISTIC INC.,U.S.G.A. LOGISTIC INC.,03-11-12 0:00,11,105,99.73,104.99,102.36,99.72,11
45,45,91313526,IAH,BOG,USA,Colombia,NA_USA_South,SA_Colombia,IAH,BOG,IAH,BOG,IAH-MIA-BOG,1,CARGA GENERAL,HOU,U.S.G.A. LOGISTIC INC.,U.S.G.A. LOGISTIC INC.,01-11-12 0:00,16,0,0,105,102.37,98.53,16
45,45,91313526,IAH,BOG,USA,Colombia,NA_USA_South,SA_Colombia,IAH,BOG,IAH,BOG,IAH-MIA-BOG,1,CARGA GENERAL,HOU,U.S.G.A. LOGISTIC INC.,U.S.G.A. LOGISTIC INC.,03-11-12 0:00,16,105,98.53,105,102.37,98.53,16
45,45,91313530,IAH,BOG,USA,Colombia,NA_USA_South,SA_Colombia,IAH,BOG,IAH,BOG,IAH-MIA-BOG,1,CARGA GENERAL,HOU,U.S.G.A. LOGISTIC INC.,U.S.G.A. LOGISTIC INC.,01-11-12 0:00,1188,0,0,1900.8,1853.28,1568.16,1188
45,45,91313530,IAH,BOG,USA,Colombia,NA_USA_South,SA_Colombia,IAH,BOG,IAH,BOG,IAH-MIA-BOG,1,CARGA GENERAL,HOU,U.S.G.A. LOGISTIC INC.,U.S.G.A. LOGISTIC INC.,03-11-12 0:00,1188,1900.8,1568.16,1900.8,1853.28,1568.16,1188
0,45,91313681,IAH,GIG,USA,Brazil,NA_USA_South,SA_Brazil_GIG,IAH,GIG,IAH,GIG,IAH-MIA-GIG,517,OTROS DG,HOU,LYNDEN AIR FREIGHT INC,LYNDEN AIR FREIGHT INC,02-11-12 0:00,11,0,0,0,0,0,0
0,45,91313681,IAH,GIG,USA,Brazil,NA_USA_South,SA_Brazil_GIG,IAH,GIG,IAH,GIG,IAH-MIA-GIG,517,OTROS DG,HOU,LYNDEN AIR FREIGHT INC,LYNDEN AIR FREIGHT INC,05-11-12 0:00,11,0,0,0,0,0,0
0,45,91313692,JFK,EZE,USA,Argentina,NA_USA_NewYork,SA_Argentina_EZE,JFK,EZE,JFK,EZE,JFK-LIM-EZE,517,OTROS DG,JFK,LYNDEN AIR FREIGHT,LYNDEN AIR FREIGHT,07-11-12 0:00,11,0,0,0,0,0,0
0,45,91313692,JFK,EZE,USA,Argentina,NA_USA_NewYork,SA_Argentina_EZE,JFK,EZE,JFK,EZE,JFK-LIM-EZE,517,OTROS DG,JFK,LYNDEN AIR FREIGHT,LYNDEN AIR FREIGHT,08-11-12 0:00,11,0,0,0,0,0,0
0,45,91313703,JFK,GIG,USA,Brazil,NA_USA_NewYork,SA_Brazil_GIG,JFK,GIG,JFK,GIG,JFK-GIG,1,CARGA GENERAL,JFK,LYNDEN AIR FREIGHT,LYNDEN AIR FREIGHT,08-11-12 0:00,175,0,0,0,0,0,0
45,45,91314683,ATL,BOG,USA,Colombia,NA_USA_SouthEast,SA_Colombia,ATL,BOG,ATL,BOG,ATL-MIA-BOG,97,CONSOLIDADO,CHI,ESTES FORWARDING WORLDWIDE,ESTES FORWARDING,26-10-12 0:00,2153,0,0,2811.25,2698.8,2329.13,2153
45,45,91314683,ATL,BOG,USA,Colombia,NA_USA_SouthEast,SA_Colombia,ATL,BOG,ATL,BOG,ATL-MIA-BOG,97,CONSOLIDADO,CHI,ESTES FORWARDING WORLDWIDE,ESTES FORWARDING,03-11-12 0:00,2153,2811.25,2329.13,2811.25,2698.8,2329.13,2153
45,45,91314952,JFK,BOG,USA,Colombia,NA_USA_NewYork,SA_Colombia,JFK,BOG,JFK,BOG,JFK-MIA-BOG,97,CONSOLIDADO,JFK,DHL GLOBAL FORWARDING,DHL GLOBAL FORWARDING,27-10-12 0:00,15,0,0,67.86,293.76,258.76,13.6
45,45,91314952,JFK,BOG,USA,Colombia,NA_USA_NewYork,SA_Colombia,JFK,BOG,JFK,BOG,JFK-MIA-BOG,97,CONSOLIDADO,JFK,DHL GLOBAL FORWARDING,DHL GLOBAL FORWARDING,01-11-12 0:00,15,67.86,258.76,67.86,293.76,258.76,13.6
45,45,91314985,JFK,SCL,USA,Chile,NA_USA_NewYork,SA_Chile,JFK,SCL,JFK,SCL,JFK-SCL,97,CONSOLIDADO,JFK,DHL GLOBAL FORWARDING,DHL GLOBAL FORWARDING,03-11-12 0:00,1870,2223.65,5448.08,2223.65,5448.08,5448.08,1029.6
45,45,91315022,JFK,EZE,USA,Argentina,NA_USA_NewYork,SA_Argentina_EZE,JFK,EZE,JFK,EZE,JFK-MIA-EZE,517,OTROS DG,JFK,DHL GLOBAL FORWARDING,DHL GLOBAL FORWARDING,27-10-12 0:00,33,0,0,220.5,547,512,19.1
45,45,91315022,JFK,EZE,USA,Argentina,NA_USA_NewYork,SA_Argentina_EZE,JFK,EZE,JFK,EZE,JFK-MIA-EZE,517,OTROS DG,JFK,DHL GLOBAL FORWARDING,DHL GLOBAL FORWARDING,02-11-12 0:00,33,220.5,512,220.5,547,512,19.1
45,45,91315055,SFO,CCS,USA,Venezuela,NA_USA_West,SA_Venezuela,SFO,CCS,SFO,CCS,SFO-LAX-MEX-CCS,97,CONSOLIDADO,SFO,DHL GLOBAL FORWARDING,DHL GLOBAL FORWARDING,26-10-12 0:00,2398,0,0,3357.2,7793.5,7457.78,2398
45,45,91315055,SFO,CCS,USA,Venezuela,NA_USA_West,SA_Venezuela,SFO,CCS,SFO,CCS,SFO-LAX-MEX-CCS,97,CONSOLIDADO,SFO,DHL GLOBAL FORWARDING,DHL GLOBAL FORWARDING,02-11-12 0:00,2398,"1,433,573",3184.58,3357.2,7793.5,7457.78,2398
45,45,91315055,SFO,CCS,USA,Venezuela,NA_USA_West,SA_Venezuela,SFO,CCS,SFO,CCS,SFO-LAX-MEX-CCS,97,CONSOLIDADO,SFO,DHL GLOBAL FORWARDING,DHL GLOBAL FORWARDING,03-11-12 0:00,2398,"1,923,627",4273.2,3357.2,7793.5,7457.78,2398
0,45,91315081,SEA,GIG,USA,Brazil,NA_USA_West,SA_Brazil_GIG,LAX,GIG,SEA,GIG,SEA-LAX-MIA-GIG,617,MISCELANEO (CLASE 9),SEA,DHL GLOBAL FORWARDING,DHL GLOBAL FORWARDING,26-10-12 0:00,7,0,0,0,0,0,0
0,45,91315081,SEA,GIG,USA,Brazil,NA_USA_West,SA_Brazil_GIG,LAX,GIG,SEA,GIG,SEA-LAX-MIA-GIG,617,MISCELANEO (CLASE 9),SEA,DHL GLOBAL FORWARDING,DHL GLOBAL FORWARDING,02-11-12 0:00,7,0,0,0,0,0,0
0,45,91315081,SEA,GIG,USA,Brazil,NA_USA_West,SA_Brazil_GIG,LAX,GIG,SEA,GIG,SEA-LAX-MIA-GIG,617,MISCELANEO (CLASE 9),SEA,DHL GLOBAL FORWARDING,DHL GLOBAL FORWARDING,05-11-12 0:00,7,0,0,0,0,0,0
45,45,91315136,JFK,EZE,USA,Argentina,NA_USA_NewYork,SA_Argentina_EZE,JFK,EZE,JFK,EZE,JFK-LIM-EZE,97,CONSOLIDADO,JFK,DHL GLOBAL FORWARDING,DHL GLOBAL FORWARDING,03-11-12 0:00,334,"1,191,231",1309.24,1261.8,1386.8,1386.8,387.8
45,45,91315136,JFK,EZE,USA,Argentina,NA_USA_NewYork,SA_Argentina_EZE,JFK,EZE,JFK,EZE,JFK-LIM-EZE,97,CONSOLIDADO,JFK,DHL GLOBAL FORWARDING,DHL GLOBAL FORWARDING,04-11-12 0:00,334,"7,056,908",77.56,1261.8,1386.8,1386.8,387.8
45,45,91315140,JFK,SCL,USA,Chile,NA_USA_NewYork,SA_Chile,JFK,SCL,JFK,SCL,JFK-SCL,97,CONSOLIDADO,JFK,DHL GLOBAL FORWARDING,DHL GLOBAL FORWARDING,01-11-12 0:00,"424,065,368,800,873",2235.95,"4,872,054","22,359,502,559,369",5755.95,5755.95,1191.7
45,45,91315140,JFK,SCL,USA,Chile,NA_USA_NewYork,SA_Chile,JFK,SCL,JFK,SCL,JFK-SCL,97,CONSOLIDADO,JFK,DHL GLOBAL FORWARDING,DHL GLOBAL FORWARDING,02-11-12 0:00,"769,346,311,991,273","4,056,497","883,896","405,649,744,063,103",5755.95,5755.95,1191.7
45,45,91315151,JFK,EZE,USA,Argentina,NA_USA_NewYork,SA_Argentina_EZE,JFK,EZE,JFK,EZE,JFK-MIA-EZE,517,OTROS DG,JFK,DHL GLOBAL FORWARDING,DHL GLOBAL FORWARDING,27-10-12 0:00,53,0,0,259.7,607.75,572.75,53
45,45,91315151,JFK,EZE,USA,Argentina,NA_USA_NewYork,SA_Argentina_EZE,JFK,EZE,JFK,EZE,JFK-MIA-EZE,517,OTROS DG,JFK,DHL GLOBAL FORWARDING,DHL GLOBAL FORWARDING,01-11-12 0:00,53,259.7,572.75,259.7,607.75,572.75,53
45,45,91315265,JFK,EZE,USA,Argentina,NA_USA_NewYork,SA_Argentina_EZE,JFK,EZE,JFK,EZE,JFK-MIA-EZE,517,OTROS DG,JFK,DHL GLOBAL FORWARDING,DHL GLOBAL FORWARDING,27-10-12 0:00,107,0,0,299.6,3397.55,3357.52,107
45,45,91315265,JFK,EZE,USA,Argentina,NA_USA_NewYork,SA_Argentina_EZE,JFK,EZE,JFK,EZE,JFK-MIA-EZE,517,OTROS DG,JFK,DHL GLOBAL FORWARDING,DHL GLOBAL FORWARDING,01-11-12 0:00,107,299.6,3357.52,299.6,3397.55,3357.52,107
45,45,91315276,IAH,BOG,USA,Colombia,NA_USA_South,SA_Colombia,IAH,BOG,IAH,BOG,IAH-MIA-BOG,97,CONSOLIDADO,HOU,DHL DANZAS AIR OCEAN DBA DANZAS AEI INC,DHL DANZAS AIR OCEAN DBA DANZAS AEI INC,26-10-12 0:00,129,0,0,308,300.32,259.89,129.2
45,45,91315276,IAH,BOG,USA,Colombia,NA_USA_South,SA_Colombia,IAH,BOG,IAH,BOG,IAH-MIA-BOG,97,CONSOLIDADO,HOU,DHL DANZAS AIR OCEAN DBA DANZAS AEI INC,DHL DANZAS AIR OCEAN DBA DANZAS AEI INC,01-11-12 0:00,129,308,259.89,308,300.32,259.89,129.2
