codemp,prfawb,numawb,oriawb,desawb,OrgPais,DestPais,ZonaOrig,ZonaDest,OficinaOriCap,OficinaDesCap,PosOri,PosDes,tramo,escala,codpro,dsc_producto,codage,posage,NomAge,codshp,posshp,NomShp,dnmvue,numvue,tipvue,FecVue,FchDsp,FchEta,ChWei_BK,GrWei_BK,chwei_awb,grwei_awb,chwei,grwei,HayWhr,GrRev,NetRev,CostoAllot,Interl,Comision,Others_Incomes,DueCarrier,GrossRevSinProrr,SalesRevSinProrr,NetRevSinProrr,matricula,material,Tramos,ChWeiTotAWB,GrWeiTotAWB,TipoServicio,PasaSCL,PasaMIA,PasaLAX,PasaJFK,PasaMEX,PasaGDL,Actualizacion,shsh,prioCpty,FeedbackOp,TipVueRCP,TpotarBk,StsRva,FchWhr,Bode,Piezas,Piezas_BK
0,23,78119554,MEM,MAO,USA,Brazil,NA_USA_SouthEast,SA_Brazil_MAO,ATL,MAO,GRU,MAO,2,2,1,CARGA GENERAL,940948,D44,,940949,D44,DHL GLOBAL,JJ,3748,P,03-11-12 0:00,03-11-12 0:00,03-11-12 0:00,29,29,29,29,29,29,1,0,0,0,0,0,0,0,0,0,0,,,MEM-GRU-MAO,0,0,Standard,NO,NO,NO,NO,NO,NO,06-11-12 3:36,1,,,,PESO,Flown,11-02-12 13:44,GRU,2,2
0,23,78119565,MEM,MAO,USA,Brazil,NA_USA_SouthEast,SA_Brazil_MAO,ATL,MAO,MEM,GRU,1,1,1,CARGA GENERAL,940584,D44,,940585,D44,DHL GLOBAL,,,?,02-11-12 0:00,02-11-12 0:00,02-11-12 0:00,28,28,28.5,28.1,28.33,28.1,1,0,0,0,0,0,0,0,0,0,0,,,MEM-GRU-MAO,0,0,Standard,NO,NO,NO,NO,NO,NO,06-11-12 3:36,1,,,,PESO,Pending,11-02-12 13:40,GRU,2,2
0,23,78119565,MEM,MAO,USA,Brazil,NA_USA_SouthEast,SA_Brazil_MAO,ATL,MAO,GRU,MAO,2,2,1,CARGA GENERAL,940584,D44,,940585,D44,DHL GLOBAL,JJ,3748,P,03-11-12 0:00,03-11-12 0:00,03-11-12 0:00,28,28,28.5,28.1,28.33,28.1,1,0,0,0,0,0,0,0,0,0,0,,,MEM-GRU-MAO,0,0,Standard,NO,NO,NO,NO,NO,NO,06-11-12 3:36,1,,,,PESO,Flown,11-02-12 13:40,GRU,2,2
0,45,25505045,BOS,EZE,USA,Argentina,NA_USA_NorthEast,SA_Argentina_EZE,JFK,EZE,BOS,JFK,1,1,97,CONSOLIDADO,17325,BOS,HORN INTERNATIONAL FORWARDING INC.,926247,D44,HORN INTERNATIONAL FORWARDING INC.,,,?,01-11-12 0:00,01-11-12 0:00,01-11-12 0:00,363,363,363,363,363,363,1,0,0,0,0,0,0,0,0,0,0,,,BOS-JFK-MIA-EZE,0,0,only Cargo,NO,YES,NO,YES,NO,NO,06-11-12 3:36,1,,,,PESO,Pending,11-01-12 19:12,JFK,1,1
0,45,25505045,BOS,EZE,USA,Argentina,NA_USA_NorthEast,SA_Argentina_EZE,JFK,EZE,JFK,MIA,2,2,97,CONSOLIDADO,17325,BOS,HORN INTERNATIONAL FORWARDING INC.,926247,D44,HORN INTERNATIONAL FORWARDING INC.,TAN,1,T,05-11-12 0:00,06-11-12 3:00,07-11-12 19:00,363,363,363,363,363,363,1,0,0,0,0,0,0,0,0,0,0,,,BOS-JFK-MIA-EZE,0,0,only Cargo,NO,YES,NO,YES,NO,NO,06-11-12 3:36,1,99,CHANGED BY 3502826/MIACA001 05/nov/2012 19:10,,PESO,Flown,11-01-12 19:12,JFK,1,1
0,45,25505045,BOS,EZE,USA,Argentina,NA_USA_NorthEast,SA_Argentina_EZE,JFK,EZE,MIA,EZE,3,3,97,CONSOLIDADO,17325,BOS,HORN INTERNATIONAL FORWARDING INC.,926247,D44,HORN INTERNATIONAL FORWARDING INC.,UC,1107,C,08-11-12 0:00,08-11-12 13:20,08-11-12 23:49,363,363,363,363,363,363,1,0,0,0,0,0,0,0,0,0,0,N772LA,B777-200F,BOS-JFK-MIA-EZE,0,0,only Cargo,NO,YES,NO,YES,NO,NO,06-11-12 3:36,1,,,,PESO,Booked,11-01-12 19:12,JFK,1,1
0,45,25505056,BOS,EZE,USA,Argentina,NA_USA_NorthEast,SA_Argentina_EZE,JFK,EZE,BOS,JFK,1,1,97,CONSOLIDADO,17325,BOS,HORN INTERNATIONAL FORWARDING INC.,17325,BOS,HORN INTERNATIONAL FORWARDING INC.,T60,111,T,31-10-12 0:00,31-10-12 22:00,27-10-12 11:33,390,390,390,390,390,390,1,0,0,0,0,0,0,0,0,0,0,,,BOS-JFK-MIA-EZE,0,0,only Cargo,NO,YES,NO,YES,NO,NO,06-11-12 3:36,1,,,,PESO,Booked,11-01-12 19:10,JFK,1,1
0,45,25505056,BOS,EZE,USA,Argentina,NA_USA_NorthEast,SA_Argentina_EZE,JFK,EZE,JFK,MIA,2,2,97,CONSOLIDADO,17325,BOS,HORN INTERNATIONAL FORWARDING INC.,17325,BOS,HORN INTERNATIONAL FORWARDING INC.,TAN,1,T,05-11-12 0:00,06-11-12 3:00,07-11-12 19:00,390,390,390,390,390,390,1,0,0,0,0,0,0,0,0,0,0,,,BOS-JFK-MIA-EZE,0,0,only Cargo,NO,YES,NO,YES,NO,NO,06-11-12 3:36,1,1,,,PESO,Flown,11-01-12 19:10,JFK,1,1
0,45,25505056,BOS,EZE,USA,Argentina,NA_USA_NorthEast,SA_Argentina_EZE,JFK,EZE,MIA,EZE,3,3,97,CONSOLIDADO,17325,BOS,HORN INTERNATIONAL FORWARDING INC.,17325,BOS,HORN INTERNATIONAL FORWARDING INC.,UC,1107,C,08-11-12 0:00,08-11-12 13:20,08-11-12 23:49,390,390,390,390,390,390,1,0,0,0,0,0,0,0,0,0,0,N772LA,B777-200F,BOS-JFK-MIA-EZE,0,0,only Cargo,NO,YES,NO,YES,NO,NO,06-11-12 3:36,1,,,,PESO,Booked,11-01-12 19:10,JFK,1,1
0,45,26939032,MIA,MCZ,USA,Brazil,NA_USA_Florida,SA_Brazil_Others,MIA,OTBRA,MIA,BSB,1,1,514,MEDICAMENTOS / VACUNAS,16072,FLL,MANACO INTERNATIONAL FWDRS.,2670,B69,MANACO,JJ,8043,P,07-11-12 0:00,07-11-12 0:00,07-11-12 0:00,5,3,5,3,5,3,0,0,0,0,0,0,0,0,0,0,0,,,MIA-BSB-MCZ,0,0,Only Pax,NO,YES,NO,NO,NO,NO,06-11-12 3:36,1,,,,PESO,Booked,,MIA,2,2
