numawb,oriawb,desawb,OrgPais,DestPais,ZonaOrig,ZonaDest,PosOri,PosDes,Tramos,codpro,dsc_producto,posage,NomAge,NomShp,dnmvue,numvue,tipvue,FecVue,FchDsp,FchEta,ChWei_BK,GrRev,NetRev,TipoServicio,Piezas
91203291,MIA,LIM,USA,Peru,NA_USA_Florida,SA_Peru,MIA,LIM,MIA-LIM,97,CONSOLIDADO,MIA,MIQ GLOBAL LLC,MIQ GLOBAL LLC,RF,713,C,05-11-12 0:00,05-11-12 0:38,21-08-17 0:00,170,1245,1310,PRIORITY 1,7
91203302,MIA,LIM,USA,Peru,NA_USA_Florida,SA_Peru,MIA,LIM,MIA-LIM,1,CARGA GENERAL,MIA,MIQ GLOBAL LLC,MIQ GLOBAL LLC,LA,2511,P,02-11-12 0:00,02-11-12 23:43,22-08-17 0:00,30,105.4,170.4,Only Pax,3
91203324,MIA,GUA,USA,Guatemala,NA_USA_Florida,CA_Guatemala,MIA,GUA,MIA-GUA,1,CARGA GENERAL,MIA,MIQ GLOBAL LLC,MIQ GLOBAL LLC,RF,123,C,06-11-12 0:00,05-11-12 23:45,23-08-17 0:00,180,342.9,342.9,only Cargo,1
91205015,MIA,SCL,USA,Chile,NA_USA_Florida,SA_Chile,MIA,SCL,MIA-SCL,97,CONSOLIDADO,MIA,SENATOR INTL FREIGHT FORWARDERS LLC,SENATOR INTL FREIGHT FORWARDERS LLC,LA,503,P,02-11-12 0:00,02-11-12 22:27,24-08-17 0:00,2004,2684.85,7475.3,ALLOCATION LD,1
91205052,MIA,SCL,USA,Chile,NA_USA_Florida,SA_Chile,MIA,SCL,MIA-SCL,97,CONSOLIDADO,MIA,SENATOR INTL FREIGHT FORWARDERS LLC,SENATOR INTL FREIGHT FORWARDERS LLC,LA,501,P,02-11-12 0:00,02-11-12 21:24,25-08-17 0:00,2505,2215.5,6179,ALLOCATION LD,1
91205100,MIA,EZE,USA,Argentina,NA_USA_Florida,SA_Argentina_EZE,MIA,EZE,MIA-EZE,97,CONSOLIDADO,MIA,SENATOR INTL FREIGHT FORWARDERS LLC,SENATOR INTL FREIGHT FORWARDERS LLC,4M,4521,P,03-11-12 0:00,03-11-12 20:43,26-08-17 0:00,1670,1725.6,4510.9,ALLOCATION LD,51
91205111,MIA,EZE,USA,Argentina,NA_USA_Florida,SA_Argentina_EZE,MIA,EZE,MIA-EZE,1,CARGA GENERAL,MIA,SENATOR INTL FREIGHT FORWARDERS LLC,SENATOR INTL FREIGHT FORWARDERS LLC,4M,4521,P,06-11-12 0:00,06-11-12 19:45,27-08-17 0:00,1002,0,0,Only Pax,10
91205122,MIA,EZE,USA,Argentina,NA_USA_Florida,SA_Argentina_EZE,MIA,EZE,MIA-EZE,1,CARGA GENERAL,MIA,SENATOR INTL FREIGHT FORWARDERS LLC,SENATOR INTL FREIGHT FORWARDERS LLC,4M,4521,P,06-11-12 0:00,06-11-12 19:45,28-08-17 0:00,1002,0,0,ALLOCATION LD,10
91205144,MIA,LIM,USA,Peru,NA_USA_Florida,SA_Peru,MIA,LIM,MIA-LIM,1,CARGA GENERAL,MIA,SENATOR INTL FREIGHT FORWARDERS LLC,SENATOR INTL FREIGHT FORWARDERS LLC,RF,521,C,06-11-12 0:00,06-11-12 10:10,29-08-17 0:00,501,0,0,Only Pax,20
91205155,MIA,LIM,USA,Peru,NA_USA_Florida,SA_Peru,MIA,LIM,MIA-LIM,1,CARGA GENERAL,MIA,SENATOR INTL FREIGHT FORWARDERS LLC,SENATOR INTL FREIGHT FORWARDERS LLC,UC,1401,C,07-11-12 0:00,07-11-12 7:40,30-08-17 0:00,501,0,0,only Cargo,20
91205203,MIA,PTY,USA,Panama,NA_USA_Florida,CA_Panama,MIA,PTY,MIA-PTY,97,CONSOLIDADO,MIA,SENATOR INTL FREIGHT FORWARDERS LLC,SENATOR INTL FREIGHT FORWARDERS LLC,UC,1207,C,04-11-12 0:00,04-11-12 15:00,31-08-17 0:00,1154,1267.75,1267.75,only Cargo,35
91205225,MIA,SCL,USA,Chile,NA_USA_Florida,SA_Chile,MIA,SCL,MIA-SCL,97,CONSOLIDADO,MIA,SENATOR INTL FREIGHT FORWARDERS LLC,SENATOR INTL FREIGHT FORWARDERS LLC,LA,501,P,05-11-12 0:00,05-11-12 20:34,01-09-17 0:00,2505,2520,7020,Only Pax,1
91205236,MIA,SCL,USA,Chile,NA_USA_Florida,SA_Chile,MIA,SCL,MIA-SCL,1,CARGA GENERAL,MIA,SENATOR INTL FREIGHT FORWARDERS LLC,SENATOR INTL FREIGHT FORWARDERS LLC,LA,501,P,06-11-12 0:00,06-11-12 20:25,02-09-17 0:00,2505,0,0,Only Pax,20
91205240,MIA,SCL,USA,Chile,NA_USA_Florida,SA_Chile,MIA,SCL,MIA-SCL,1,CARGA GENERAL,MIA,SENATOR INTL FREIGHT FORWARDERS LLC,SENATOR INTL FREIGHT FORWARDERS LLC,LA,501,P,07-11-12 0:00,07-11-12 20:25,03-09-17 0:00,2505,0,0,Only Pax,20
91205284,MIA,SCL,USA,Chile,NA_USA_Florida,SA_Chile,MIA,SCL,MIA-SCL,1,CARGA GENERAL,MIA,SENATOR INTL FREIGHT FORWARDERS LLC,SENATOR INTL FREIGHT FORWARDERS LLC,LA,503,P,06-11-12 0:00,06-11-12 21:30,04-09-17 0:00,2004,0,0,Only Pax,20
91205295,MIA,SCL,USA,Chile,NA_USA_Florida,SA_Chile,MIA,SCL,MIA-SCL,1,CARGA GENERAL,MIA,SENATOR INTL FREIGHT FORWARDERS LLC,SENATOR INTL FREIGHT FORWARDERS LLC,LA,503,P,07-11-12 0:00,07-11-12 21:30,05-09-17 0:00,2004,0,0,Only Pax,20
91205881,MIA,EZE,USA,Argentina,NA_USA_Florida,SA_Argentina_EZE,MIA,EZE,MIA-EZE,517,OTROS DG,MIA,JAS FORWARDING USA INC,JAS FORWARDING USA INC,4M,4521,P,03-11-12 0:00,03-11-12 20:43,06-09-17 0:00,57,180.12,527.02,Only Pax,1
91205892,MIA,SJO,USA,Costa_Rica,NA_USA_Florida,CA_Costa_Rica,MIA,SJO,MIA-SJO,97,CONSOLIDADO,MIA,JAS FORWARDING USA INC,JAS FORWARDING USA INC,UC,1205,C,02-11-12 0:00,02-11-12 5:30,07-09-17 0:00,3701,5225.8,5225.8,ALLOCATION MD,101
